"","city","gender"
"2241","Swansea","F"
"2242","Bournemouth","F"
"2243","Birmingham","F"
"2244","Chatham","F"
"2245","Swindon","F"
"2246","Glasgow","M"
"2247","Nottingham","F"
"2248","Manchester","F"
"2249","Belfast","F"
"2250","Nottingham","F"
"2251","Leeds","F"
"2252","Mansfield","F"
"2253","Coventry","F"
"2254","Stoke","F"
"2255","Newport","F"
"2256","Liverpool","M"
"2257","","F"
"2258","Stoke","U"
"2259","Bristol","U"
"2260","Gloucester","U"
"2261","Crawley","U"
"2262","Sunderland","F"
"2263","Preston","U"
"2264","Burnley","F"
"2265","Plymouth","F"
"2266","","F"
"2267","Chatham","F"
"2268","Cambridge","U"
"2269","","M"
"2270","Sheffield","F"
"2271","Southend","F"
"2272","London","F"
"2273","Wakefield","F"
"2274","Portsmouth","U"
"2275","Preston","F"
"2276","Hull","F"
"2277","Birmingham","F"
"2278","National Average","F"
"2279","Bradford","F"
"2280","Blackpool","F"
"2281","Swansea","F"
"2282","Liverpool","U"
"2283","Manchester","F"
"2284","Blackburn","F"
"2285","Huddersfield","F"
"2286","Southampton","F"
"2287","Peterborough","U"
"2288","Belfast","F"
"2289","","F"
"2290","Crawley","U"
"2291","Southend","F"
"2292","Gloucester","M"
"2293","Huddersfield","U"
"2294","Derby","U"
"2295","Cambridge","M"
"2296","Nottingham","F"
"2297","Coventry","F"
"2298","Nottingham","F"
"2299","Dundee","F"
"2300","Slough","F"
"2301","Nottingham","F"
"2302","Middlesbrough","U"
"2303","Mansfield","M"
"2304","Basildon","F"
"2305","Middlesbrough","F"
"2306","Exeter","F"
"2307","Slough","U"
"2308","Newcastle","F"
"2309","Bradford","F"
"2310","Derby","M"
"2311","Peterborough","F"
"2312","Bristol","F"
"2313","Coventry","F"
"2314","Basildon","F"
"2315","Basildon","F"
"2316","Coventry","M"
"2317","Middlesbrough","F"
"2318","Sunderland","F"
"2319","Gloucester","F"
"2320","Birkenhead","F"
"2321","Portsmouth","F"
"2322","Southampton","F"
"2323","Telford","F"
"2324","Birkenhead","F"
"2325","Ipswich","F"
"2326","Cardiff","U"
"2327","Glasgow","U"
"2328","Leicester","F"
"2329","Telford","F"
"2330","Southampton","F"
"2331","Glasgow","U"
"2332","Newcastle","F"
"2333","Sunderland","F"
"2334","Bradford","U"
"2335","Gloucester","F"
"2336","Sunderland","M"
"2337","Northampton","F"
"2338","Northampton","U"
"2339","Peterborough","U"
"2340","Belfast","F"
"2341","Cardiff","U"
"2342","Portsmouth","F"
"2343","London","F"
"2344","Reading","U"
"2345","Dundee","F"
"2346","Leicester","F"
"2347","Aberdeen","F"
"2348","Nottingham","F"
"2349","Preston","F"
"2350","Edinburgh","F"
"2351","Newport","F"
"2352","Newcastle","F"
"2353","Plymouth","F"
"2354","Slough","F"
"2355","Dundee","F"
"2356","Slough","F"
"2357","","F"
"2358","Wakefield","F"
"2359","Northampton","F"
"2360","Cardiff","F"
"2361","Bournemouth","F"
"2362","Sheffield","F"
"2363","Manchester","F"
"2364","Middlesbrough","F"
"2365","Manchester","U"
"2366","Stoke","F"
"2367","Blackburn","F"
"2368","Norwich","F"
"2369","Crawley","F"
"2370","Telford","U"
"2371","","F"
"2372","Ipswich","F"
"2373","Stoke","U"
"2374","Edinburgh","F"
"2375","Sheffield","F"
"2376","National Average","F"
"2377","Cambridge","F"
"2378","Bradford","F"
"2379","","F"
"2380","Norwich","F"
"2381","Aldershot","F"
"2382","Reading","F"
"2383","Doncaster","F"
"2384","Swansea","F"
"2385","Newcastle","M"
"2386","Chatham","F"
"2387","Reading","F"
"2388","Basildon","U"
"2389","Slough","F"
"2390","Worthing","F"
"2391","Swansea","M"
"2392","Bournemouth","F"
"2393","Sunderland","F"
"2394","Newport","U"
"2395","Hull","F"
"2396","Telford","F"
"2397","Northampton","F"
"2398","Ipswich","U"
"2399","Dundee","U"
"2400","Cambridge","F"
"2401","Liverpool","U"
"2402","Blackpool","F"
"2403","Oxford","F"
"2404","Barnsley","U"
"2405","Bournemouth","F"
"2406","Reading","F"
"2407","Sheffield","U"
"2408","Stoke","F"
"2409","Brighton","F"
"2410","Reading","F"
"2411","Chatham","F"
"2412","Birmingham","F"
"2413","Norwich","F"
"2414","Reading","F"
"2415","Mansfield","M"
"2416","Leeds","F"
"2417","Basildon","U"
"2418","Middlesbrough","U"
"2419","Edinburgh","F"
"2420","Belfast","F"
"2421","Swindon","U"
"2422","Basildon","M"
"2423","Oxford","F"
"2424","Aldershot","F"
"2425","Bristol","F"
"2426","Nottingham","U"
"2427","Ipswich","F"
"2428","Edinburgh","U"
"2429","Plymouth","F"
"2430","Crawley","F"
"2431","Brighton","U"
"2432","Blackburn","F"
"2433","London","F"
"2434","Blackburn","F"
"2435","Swansea","F"
"2436","Slough","F"
"2437","Birkenhead","F"
"2438","Birkenhead","F"
"2439","","F"
"2440","Brighton","U"
"2441","Newport","U"
"2442","Aberdeen","F"
"2443","","U"
"2444","Bournemouth","U"
"2445","Edinburgh","F"
"2446","Birkenhead","U"
"2447","Norwich","F"
"2448","Peterborough","M"
"2449","Aberdeen","F"
"2450","London","F"
"2451","Blackburn","F"
"2452","Birmingham","U"
"2453","Oxford","M"
"2454","Belfast","U"
"2455","Crawley","F"
"2456","National Average","M"
"2457","Birmingham","F"
"2458","Glasgow","U"
"2459","Preston","M"
"2460","Swindon","U"
"2461","Mansfield","F"
"2462","Cardiff","F"
"2463","Southend","F"
"2464","Belfast","F"
"2465","Doncaster","U"
"2466","Southend","F"
"2467","Norwich","F"
"2468","Southend","F"
"2469","Brighton","U"
"2470","Liverpool","F"
"2471","Swansea","M"
"2472","National Average","F"
"2473","Nottingham","F"
"2474","Sheffield","F"
"2475","Middlesbrough","F"
"2476","Northampton","F"
"2477","Newcastle","F"
"2478","Cardiff","M"
"2479","Ipswich","U"
"2480","Huddersfield","F"
"2481","Plymouth","U"
"2482","Exeter","F"
"2483","Manchester","F"
"2484","Bristol","F"
"2485","","F"
"2486","Brighton","F"
"2487","Leicester","F"
"2488","Bristol","F"
"2489","Ipswich","F"
"2490","Mansfield","F"
"2491","Burnley","F"
"2492","Brighton","F"
"2493","Leicester","F"
"2494","Doncaster","M"
"2495","Plymouth","F"
"2496","London","F"
"2497","Derby","F"
"2498","Plymouth","F"
"2499","Portsmouth","M"
"2500","Cambridge","F"
"2501","Derby","U"
"2502","Brighton","F"
"2503","Swindon","U"
"2504","Edinburgh","F"
"2505","Basildon","F"
"2506","Portsmouth","M"
"2507","Brighton","F"
"2508","Southend","F"
"2509","Oxford","F"
"2510","Aldershot","F"
"2511","Basildon","F"
"2512","Basildon","F"
"2513","Middlesbrough","F"
"2514","National Average","F"
"2515","Cardiff","F"
"2516","Cardiff","U"
"2517","Manchester","F"
"2518","London","F"
"2519","Crawley","F"
"2520","Doncaster","M"
"2521","Preston","F"
"2522","Milton Keynes","F"
"2523","Middlesbrough","F"
"2524","Huddersfield","U"
"2525","Glasgow","F"
"2526","Northampton","F"
"2527","Dundee","F"
"2528","Newcastle","M"
"2529","Cambridge","F"
"2530","Crawley","F"
"2531","Swindon","U"
"2532","Coventry","F"
"2533","Milton Keynes","F"
"2534","Middlesbrough","M"
"2535","Coventry","F"
"2536","Northampton","U"
"2537","Sheffield","U"
"2538","Portsmouth","F"
"2539","Nottingham","F"
"2540","Birmingham","F"
"2541","Wakefield","F"
"2542","Middlesbrough","F"
"2543","London","F"
"2544","Portsmouth","F"
"2545","Norwich","M"
"2546","Plymouth","F"
"2547","Southend","M"
"2548","Peterborough","M"
"2549","Ipswich","F"
"2550","Milton Keynes","M"
"2551","Belfast","F"
"2552","Burnley","F"
"2553","Slough","F"
"2554","Cardiff","F"
"2555","Preston","F"
"2556","Portsmouth","F"
"2557","Liverpool","F"
"2558","Mansfield","M"
"2559","London","F"
"2560","Newcastle","F"
"2561","Gloucester","F"
"2562","Swansea","F"
"2563","Nottingham","F"
"2564","Burnley","F"
"2565","Brighton","F"
"2566","Birkenhead","U"
"2567","Aberdeen","F"
"2568","Edinburgh","F"
"2569","Newport","U"
"2570","Birkenhead","M"
"2571","Wigan","F"
"2572","Belfast","F"
"2573","Oxford","F"
"2574","Belfast","F"
"2575","Swansea","M"
"2576","Basildon","F"
"2577","Stoke","F"
"2578","Slough","F"
"2579","Edinburgh","F"
"2580","Chatham","F"
"2581","Liverpool","F"
"2582","Huddersfield","U"
"2583","Telford","F"
"2584","Swansea","F"
"2585","Leeds","F"
"2586","Oxford","M"
"2587","Southampton","U"
"2588","Middlesbrough","F"
"2589","Plymouth","F"
"2590","Blackburn","F"
"2591","Coventry","F"
"2592","Chatham","F"
"2593","Liverpool","F"
"2594","Plymouth","U"
"2595","Doncaster","F"
"2596","Plymouth","F"
"2597","Doncaster","M"
"2598","Northampton","M"
"2599","Mansfield","F"
"2600","Bournemouth","U"
"2601","Bournemouth","M"
"2602","Middlesbrough","M"
"2603","Stoke","F"
"2604","Glasgow","U"
"2605","Basildon","F"
"2606","Sunderland","U"
"2607","Manchester","F"
"2608","Liverpool","F"
"2609","Birmingham","F"
"2610","Newport","F"
"2611","Mansfield","U"
"2612","Bristol","U"
"2613","Preston","U"
"2614","Bournemouth","F"
"2615","Bristol","U"
"2616","Southend","F"
"2617","Newcastle","F"
"2618","Cambridge","U"
"2619","Crawley","U"
"2620","Edinburgh","F"
"2621","Stoke","F"
"2622","Burnley","U"
"2623","Hull","F"
"2624","Coventry","U"
"2625","Aldershot","F"
"2626","Manchester","F"
"2627","Sunderland","U"
"2628","Crawley","F"
"2629","Swindon","F"
"2630","Aldershot","F"
"2631","Slough","F"
"2632","Bristol","F"
"2633","Birmingham","F"
"2634","Slough","F"
"2635","Doncaster","F"
"2636","Plymouth","M"
"2637","Gloucester","M"
"2638","Crawley","F"
"2639","Aberdeen","U"
"2640","Cardiff","F"
"2641","Leicester","F"
"2642","Newport","U"
"2643","Leicester","F"
"2644","Plymouth","M"
"2645","Derby","F"
"2646","Swindon","F"
"2647","Sheffield","F"
"2648","Doncaster","M"
"2649","Reading","F"
"2650","Sunderland","F"
"2651","Telford","F"
"2652","Swansea","F"
"2653","Newport","U"
"2654","Gloucester","F"
"2655","Mansfield","M"
"2656","Slough","F"
"2657","Peterborough","F"
"2658","Brighton","M"
"2659","Belfast","M"
"2660","Chatham","F"
"2661","Exeter","F"
"2662","Crawley","F"
"2663","Aldershot","F"
"2664","Nottingham","F"
"2665","Middlesbrough","F"
"2666","Gloucester","F"
"2667","Slough","F"
"2668","Preston","F"
"2669","Swindon","M"
"2670","Nottingham","F"
"2671","Slough","U"
"2672","Exeter","F"
"2673","Newcastle","F"
"2674","Reading","F"
"2675","Bournemouth","F"
"2676","Aldershot","F"
"2677","Sheffield","U"
"2678","Basildon","U"
"2679","Blackburn","U"
"2680","Blackburn","F"
"2681","Exeter","F"
"2682","Plymouth","F"
"2683","Chatham","F"
"2684","Glasgow","U"
"2685","Bradford","F"
"2686","Middlesbrough","F"
"2687","Sheffield","M"
"2688","Telford","F"
"2689","Doncaster","F"
"2690","London","U"
"2691","Cardiff","F"
"2692","Liverpool","F"
"2693","Plymouth","F"
"2694","Belfast","F"
"2695","Cambridge","F"
"2696","Newcastle","F"
"2697","Blackburn","F"
"2698","Mansfield","F"
"2699","Barnsley","U"
"2700","Norwich","U"
"2701","Milton Keynes","F"
"2702","Cardiff","U"
"2703","Sheffield","U"
"2704","Basildon","F"
"2705","Exeter","U"
"2706","Leeds","F"
"2707","Birmingham","F"
"2708","Slough","F"
"2709","Aldershot","M"
"2710","Northampton","F"
"2711","Dundee","F"
"2712","","F"
"2713","Cambridge","F"
"2714","Reading","U"
"2715","Portsmouth","F"
"2716","Basildon","U"
"2717","National Average","F"
"2718","Wakefield","F"
"2719","Preston","F"
"2720","Huddersfield","F"
"2721","Derby","F"
"2722","Cardiff","F"
"2723","Southend","U"
"2724","Mansfield","F"
"2725","Basildon","F"
"2726","Manchester","M"
"2727","Bradford","U"
"2728","Crawley","F"
"2729","Milton Keynes","M"
"2730","Cambridge","F"
"2731","Sunderland","M"
"2732","Coventry","M"
"2733","Swansea","F"
"2734","Southampton","U"
"2735","Cardiff","F"
"2736","Stoke","F"
"2737","Newcastle","M"
"2738","Norwich","F"
"2739","Northampton","F"
"2740","Manchester","F"
"2741","Exeter","F"
"2742","Swindon","U"
"2743","Milton Keynes","U"
"2744","Southampton","F"
"2745","Huddersfield","U"
"2746","Basildon","F"
"2747","Aldershot","F"
"2748","Northampton","F"
"2749","Southampton","M"
"2750","Cambridge","F"
"2751","Oxford","F"
"2752","Newcastle","F"
"2753","Hull","F"
"2754","Southampton","U"
"2755","","F"
"2756","Mansfield","M"
"2757","Derby","F"
"2758","National Average","F"
"2759","Slough","F"
"2760","Brighton","F"
"2761","Leeds","U"
"2762","Nottingham","U"
"2763","London","F"
"2764","Ipswich","U"
"2765","Peterborough","U"
"2766","Doncaster","F"
"2767","Bristol","F"
"2768","Southend","F"
"2769","Manchester","F"
"2770","Plymouth","M"
"2771","Sheffield","F"
"2772","Doncaster","M"
"2773","Leicester","U"
"2774","Sunderland","M"
"2775","Liverpool","F"
"2776","Exeter","F"
"2777","Sunderland","M"
"2778","Birkenhead","F"
"2779","Bournemouth","F"
"2780","Bristol","F"
"2781","Blackburn","F"
"2782","Telford","M"
"2783","Coventry","F"
"2784","Slough","U"
"2785","Edinburgh","F"
"2786","Newcastle","U"
"2787","Blackburn","F"
"2788","Ipswich","F"
"2789","Bournemouth","F"
"2790","Portsmouth","F"
"2791","Milton Keynes","F"
"2792","Sunderland","F"
"2793","Blackburn","F"
"2794","Brighton","F"
"2795","Barnsley","F"
"2796","Middlesbrough","F"
"2797","Preston","F"
"2798","Swansea","F"
"2799","Newport","F"
"2800","Burnley","U"
"2801","Southend","F"
"2802","Aldershot","U"
"2803","Manchester","M"
"2804","Huddersfield","F"
"2805","Dundee","U"
"2806","Norwich","U"
"2807","Basildon","F"
"2808","Norwich","F"
"2809","Birmingham","M"
"2810","Nottingham","F"
"2811","Blackpool","U"
"2812","Northampton","F"
"2813","Barnsley","U"
"2814","Middlesbrough","F"
"2815","Bradford","U"
"2816","Leicester","U"
"2817","Exeter","F"
"2818","Reading","U"
"2819","Gloucester","U"
"2820","Norwich","F"
"2821","Crawley","F"
"2822","Leicester","F"
"2823","Oxford","F"
"2824","Basildon","U"
"2825","Burnley","F"
"2826","Portsmouth","U"
"2827","Derby","F"
"2828","Hull","F"
"2829","Portsmouth","U"
"2830","Stoke","F"
"2831","Peterborough","F"
"2832","Portsmouth","F"
"2833","Newport","F"
"2834","Mansfield","F"
"2835","Edinburgh","F"
"2836","Huddersfield","F"
"2837","Manchester","M"
"2838","Bristol","U"
"2839","Glasgow","U"
"2840","Reading","F"
"2841","Southend","U"
"2842","Edinburgh","F"
"2843","Sheffield","F"
"2844","Basildon","F"
"2845","Edinburgh","F"
"2846","Doncaster","F"
"2847","Blackburn","F"
"2848","Glasgow","F"
"2849","Hull","U"
"2850","Stoke","F"
"2851","Burnley","F"
"2852","Ipswich","F"
"2853","Plymouth","F"
"2854","Hull","F"
"2855","Leicester","F"
"2856","Birkenhead","U"
"2857","National Average","F"
"2858","Manchester","U"
"2859","Birmingham","M"
"2860","Middlesbrough","F"
"2861","Preston","M"
"2862","Nottingham","U"
"2863","Hull","F"
"2864","Bournemouth","F"
"2865","Milton Keynes","U"
"2866","Aberdeen","F"
"2867","National Average","F"
"2868","Birkenhead","F"
"2869","Milton Keynes","U"
"2870","Southampton","M"
"2871","Exeter","M"
"2872","Barnsley","F"
"2873","Blackpool","F"
"2874","Bournemouth","F"
"2875","Blackburn","F"
"2876","Ipswich","M"
"2877","Birkenhead","F"
"2878","Wakefield","U"
"2879","Southampton","F"
"2880","Gloucester","U"
"2881","Oxford","F"
"2882","Exeter","U"
"2883","Blackburn","F"
"2884","Birkenhead","F"
"2885","Leicester","F"
"2886","Wakefield","F"
"2887","Ipswich","F"
"2888","Newcastle","F"
"2889","Birkenhead","F"
"2890","Birmingham","F"
"2891","Ipswich","U"
"2892","Stoke","U"
"2893","Glasgow","U"
"2894","Glasgow","M"
"2895","Norwich","F"
"2896","Southampton","F"
"2897","Sheffield","F"
"2898","Edinburgh","F"
"2899","National Average","F"
"2900","Cambridge","F"
"2901","Mansfield","F"
"2902","Burnley","F"
"2903","Ipswich","F"
"2904","Brighton","F"
"2905","Bristol","F"
"2906","","F"
"2907","Dundee","F"
"2908","Crawley","F"
"2909","Plymouth","U"
"2910","Swindon","M"
"2911","Swindon","F"
"2912","Aberdeen","U"
"2913","Glasgow","F"
"2914","Newcastle","F"
"2915","Sunderland","F"
"2916","Peterborough","F"
"2917","Swansea","F"
"2918","Southampton","F"
"2919","Huddersfield","F"
"2920","Cambridge","F"
"2921","Leeds","F"
"2922","Aldershot","F"
"2923","Liverpool","U"
"2924","Barnsley","F"
"2925","Bristol","F"
"2926","Doncaster","F"
"2927","Portsmouth","F"
"2928","Doncaster","F"
"2929","Southend","F"
"2930","Blackpool","F"
"2931","Hull","F"
"2932","Blackpool","U"
"2933","Wakefield","F"
"2934","Newcastle","F"
"2935","Crawley","F"
"2936","Dundee","F"
"2937","Southampton","U"
"2938","Derby","F"
"2939","Cambridge","U"
"2940","Aberdeen","F"
"2941","Portsmouth","U"
"2942","Chatham","M"
"2943","Belfast","U"
"2944","Manchester","F"
"2945","Newcastle","U"
"2946","Exeter","M"
"2947","Edinburgh","U"
"2948","Edinburgh","F"
"2949","Stoke","U"
"2950","Telford","M"
"2951","Bristol","U"
"2952","Birmingham","F"
"2953","Derby","F"
"2954","Newcastle","F"
"2955","Sheffield","F"
"2956","Telford","F"
"2957","Derby","U"
"2958","Wakefield","F"
"2959","Basildon","F"
"2960","","F"
"2961","Newcastle","U"
"2962","Aberdeen","M"
"2963","Birkenhead","F"
"2964","Bradford","F"
"2965","Northampton","F"
"2966","Edinburgh","F"
"2967","Ipswich","F"
"2968","Barnsley","U"
"2969","Brighton","F"
"2970","Crawley","U"
"2971","Peterborough","F"
"2972","Blackpool","F"
"2973","Peterborough","F"
"2974","Nottingham","U"
"2975","Sheffield","F"
"2976","Milton Keynes","F"
"2977","Leeds","F"
"2978","Slough","F"
"2979","Sunderland","F"
"2980","Burnley","F"
"2981","Ipswich","F"
"2982","Newcastle","F"
"2983","Norwich","F"
"2984","Aberdeen","F"
"2985","Preston","F"
"2986","Manchester","F"
"2987","","U"
"2988","Swindon","F"
"2989","Burnley","F"
"2990","Hull","U"
"2991","Leeds","U"
"2992","Preston","F"
"2993","Aberdeen","U"
"2994","Swindon","F"
"2995","Burnley","M"
"2996","Bradford","F"
"2997","Huddersfield","F"
"2998","Birmingham","U"
"2999","Oxford","F"
"3000","Sheffield","U"
"3001","Aldershot","F"
"3002","Liverpool","F"
"3003","Blackburn","M"
"3004","National Average","U"
"3005","Mansfield","F"
"3006","Gloucester","M"
"3007","Newport","U"
"3008","Newport","F"
"3009","Leeds","F"
"3010","Reading","F"
"3011","Peterborough","F"
"3012","Swansea","M"
"3013","Sheffield","F"
"3014","Huddersfield","F"
"3015","Mansfield","F"
"3016","Belfast","F"
"3017","Cambridge","F"
"3018","Doncaster","U"
"3019","Milton Keynes","F"
"3020","Newcastle","U"
"3021","Edinburgh","F"
"3022","Nottingham","U"
"3023","Basildon","F"
"3024","Southampton","F"
"3025","Blackpool","U"
"3026","Blackburn","F"
"3027","Burnley","F"
"3028","Sheffield","F"
"3029","Newcastle","F"
"3030","Crawley","U"
"3031","Nottingham","F"
"3032","Preston","U"
"3033","Dundee","F"
"3034","Huddersfield","U"
"3035","Newcastle","F"
"3036","Southampton","U"
"3037","Southampton","U"
"3038","Huddersfield","M"
"3039","Gloucester","F"
"3040","Huddersfield","F"
"3041","Glasgow","F"
"3042","Mansfield","U"
"3043","Swansea","F"
"3044","Middlesbrough","U"
"3045","Mansfield","U"
"3046","Reading","F"
"3047","Manchester","U"
"3048","Brighton","F"
"3049","Bradford","F"
"3050","Reading","M"
"3051","Birmingham","F"
"3052","Manchester","U"
"3053","Bournemouth","F"
"3054","Southampton","U"
"3055","Nottingham","U"
"3056","Bristol","U"
"3057","Bournemouth","F"
"3058","Glasgow","F"
"3059","Southampton","F"
"3060","Hull","U"
"3061","Gloucester","F"
"3062","Northampton","U"
"3063","Exeter","M"
"3064","Swansea","U"
"3065","Leicester","M"
"3066","National Average","F"
"3067","Portsmouth","M"
"3068","Southampton","F"
"3069","Milton Keynes","F"
"3070","Mansfield","F"
"3071","Reading","F"
"3072","Swindon","M"
"3073","Derby","M"
"3074","Blackburn","F"
"3075","Cardiff","M"
"3076","Plymouth","M"
"3077","Barnsley","F"
"3078","Glasgow","U"
"3079","Doncaster","F"
"3080","Nottingham","U"
"3081","London","M"
"3082","Swindon","F"
"3083","Brighton","F"
"3084","London","F"
"3085","Stoke","F"
"3086","Wakefield","F"
"3087","Wakefield","U"
"3088","Peterborough","F"
"3089","Stoke","F"
"3090","Hull","F"
"3091","Huddersfield","F"
"3092","Glasgow","F"
"3093","Burnley","F"
"3094","National Average","U"
"3095","Aldershot","F"
"3096","London","M"
"3097","Oxford","U"
"3098","Newcastle","F"
"3099","Reading","F"
"3100","Swindon","F"
"3101","Peterborough","U"
"3102","Dundee","F"
"3103","Blackpool","F"
"3104","Peterborough","F"
"3105","Gloucester","U"
"3106","Mansfield","F"
"3107","Norwich","F"
"3108","Milton Keynes","M"
"3109","Oxford","F"
"3110","Wakefield","F"
"3111","Reading","F"
"3112","Slough","F"
"3113","Barnsley","F"
"3114","Middlesbrough","F"
"3115","Birmingham","U"
"3116","Southampton","U"
"3117","Glasgow","F"
"3118","Newport","F"
"3119","Chatham","F"
"3120","Manchester","F"
"3121","Reading","F"
"3122","Wakefield","F"
"3123","Gloucester","F"
"3124","Birkenhead","F"
"3125","Exeter","U"
"3126","Derby","U"
"3127","Derby","F"
"3128","Burnley","F"
"3129","Huddersfield","F"
"3130","Southampton","F"
"3131","Belfast","M"
"3132","Crawley","F"
"3133","Nottingham","F"
"3134","Belfast","M"
"3135","Ipswich","F"
"3136","Newport","F"
"3137","Nottingham","F"
"3138","Ipswich","F"
"3139","Liverpool","F"
"3140","Ipswich","F"
"3141","Bristol","U"
"3142","Leicester","F"
"3143","Sunderland","F"
"3144","Milton Keynes","M"
"3145","Blackburn","U"
"3146","Coventry","F"
"3147","Swindon","U"
"3148","Liverpool","F"
"3149","Bradford","M"
"3150","Newcastle","U"
"3151","","M"
"3152","Bristol","M"
"3153","Glasgow","F"
"3154","Bournemouth","F"
"3155","Swindon","U"
"3156","Belfast","F"
"3157","Cardiff","F"
"3158","Dundee","F"
"3159","Birmingham","F"
"3160","Burnley","F"
"3161","Wakefield","F"
"3162","Reading","U"
"3163","Huddersfield","U"
"3164","Sunderland","F"
"3165","Sheffield","F"
"3166","Gloucester","M"
"3167","Cardiff","U"
"3168","Edinburgh","F"
"3169","Mansfield","U"
"3170","Blackburn","F"
"3171","Portsmouth","M"
"3172","Cardiff","F"
"3173","Brighton","U"
"3174","Crawley","F"
"3175","Newport","U"
"3176","Bournemouth","U"
"3177","Portsmouth","F"
"3178","Blackpool","M"
"3179","Birmingham","M"
"3180","Dundee","F"
"3181","Portsmouth","U"
"3182","Preston","F"
"3183","Dundee","F"
"3184","Nottingham","F"
"3185","Middlesbrough","F"
"3186","Leeds","F"
"3187","Leicester","U"
"3188","Bradford","F"
"3189","Leicester","F"
"3190","Brighton","F"
"3191","Swindon","F"
"3192","Norwich","F"
"3193","Southampton","F"
"3194","Plymouth","F"
"3195","Gloucester","F"
"3196","Cardiff","F"
"3197","Peterborough","M"
"3198","Southend","U"
"3199","Glasgow","F"
"3200","Southend","F"
"3201","Chatham","U"
"3202","Gloucester","U"
"3203","Edinburgh","F"
"3204","Middlesbrough","F"
"3205","Aberdeen","F"
"3206","Manchester","F"
"3207","Bradford","F"
"3208","Coventry","U"
"3209","Sheffield","F"
"3210","Aberdeen","F"
"3211","Bradford","F"
"3212","Bristol","F"
"3213","Telford","U"
"3214","Swindon","U"
"3215","Blackpool","M"
"3216","National Average","U"
"3217","Huddersfield","F"
"3218","Norwich","F"
"3219","Reading","M"
"3220","Cardiff","F"
"3221","Norwich","M"
"3222","","F"
"3223","Birmingham","F"
"3224","Peterborough","F"
"3225","Ipswich","U"
"3226","Bradford","F"
"3227","Liverpool","M"
"3228","Nottingham","F"
"3229","Ipswich","U"
"3230","Glasgow","F"
"3231","Sunderland","F"
"3232","","F"
"3233","Nottingham","F"
"3234","Newport","F"
"3235","Wakefield","F"
"3236","Leicester","F"
"3237","Newcastle","F"
"3238","Derby","F"
"3239","Hull","F"
"3240","London","F"
"3241","National Average","F"
"3242","Aberdeen","F"
"3243","Wakefield","F"
"3244","Preston","F"
"3245","Sunderland","F"
"3246","Liverpool","F"
"3247","Telford","F"
"3248","Doncaster","F"
"3249","National Average","M"
"3250","Swindon","F"
"3251","Aberdeen","F"
"3252","Liverpool","F"
"3253","Bournemouth","F"
"3254","Bradford","F"
"3255","Ipswich","U"
"3256","Sheffield","F"
"3257","Gloucester","U"
"3258","Doncaster","U"
"3259","Cambridge","F"
"3260","Cambridge","F"
"3261","Exeter","F"
"3262","Hull","F"
"3263","Birkenhead","F"
"3264","Preston","U"
"3265","Birmingham","F"
"3266","Plymouth","F"
"3267","Belfast","F"
"3268","Oxford","F"
"3269","Basildon","M"
"3270","Blackburn","F"
"3271","Newport","F"
"3272","Liverpool","F"
"3273","Chatham","U"
"3274","Aberdeen","F"
"3275","Dundee","F"
"3276","Basildon","F"
"3277","Dundee","U"
"3278","Bournemouth","F"
"3279","Bournemouth","F"
"3280","Peterborough","F"
"3281","Blackpool","F"
"3282","Telford","U"
"3283","Plymouth","F"
"3284","Exeter","F"
"3285","Cardiff","F"
"3286","Stoke","F"
"3287","Birmingham","F"
"3288","Derby","F"
"3289","Aldershot","F"
"3290","Dundee","F"
"3291","Aberdeen","U"
"3292","Slough","F"
"3293","Chatham","F"
"3294","Cambridge","F"
"3295","London","F"
"3296","Telford","M"
"3297","Coventry","F"
"3298","London","U"
"3299","Mansfield","M"
"3300","Blackpool","F"
"3301","Chatham","U"
"3302","Sheffield","F"
"3303","Cardiff","F"
"3304","Bournemouth","F"
"3305","Sheffield","F"
"3306","Mansfield","F"
"3307","Northampton","F"
"3308","London","F"
"3309","Aberdeen","F"
"3310","Birmingham","U"
"3311","Crawley","M"
"3312","Peterborough","F"
"3313","Manchester","F"
"3314","Cambridge","F"
"3315","Northampton","F"
"3316","Derby","F"
"3317","Aldershot","F"
"3318","Southend","U"
"3319","Huddersfield","F"
"3320","Bradford","F"
"3321","Middlesbrough","U"
"3322","Northampton","U"
"3323","Hull","F"
"3324","Basildon","F"
"3325","Blackpool","F"
"3326","Cardiff","F"
"3327","Norwich","U"
"3328","Mansfield","U"
"3329","Bournemouth","F"
"3330","Derby","F"
"3331","Plymouth","U"
"3332","Nottingham","M"
"3333","Exeter","F"
"3334","Slough","F"
"3335","Southend","F"
"3336","Coventry","M"
"3337","Dundee","F"
"3338","Aberdeen","F"
"3339","Oxford","U"
"3340","Southampton","F"
"3341","Newcastle","F"
"3342","","F"
"3343","Glasgow","F"
"3344","Brighton","F"
"3345","Birmingham","F"
"3346","Birmingham","F"
"3347","Leicester","F"
"3348","Blackburn","F"
"3349","Liverpool","F"
"3350","Liverpool","F"
"3351","Telford","U"
"3352","Mansfield","F"
"3353","Wakefield","M"
"3354","Nottingham","F"
"3355","Middlesbrough","F"
"3356","Dundee","F"
"3357","","F"
"3358","Barnsley","F"
"3359","Mansfield","F"
"3360","Preston","F"
"3361","Newcastle","F"
"3362","Portsmouth","F"
"3363","Birkenhead","U"
"3364","Bristol","F"
"3365","Swindon","F"
"3366","Middlesbrough","F"
